Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,User Answer,Result,Feedback
1,"Midway through development, a compliance officer reminds the Agile project manager that the project must meet strict data privacy regulations by launch. The team hasn't yet addressed these requirements and is planning to implement them all at the end of development. What should the Agile project manager do?","Add a final compliance sprint at the end of the release schedule to handle all regulatory tasks","Ask the compliance officer to submit a change request for review during the next planning cycle","Track compliance risks separately and monitor them until development is complete","Work with the product owner to integrate regulatory compliance work into the product backlog and deliver it incrementally",D,D,1/1,"Work with the product owner to integrate regulatory compliance work into the product backlog and deliver it incrementally."
2,"An Agile team is preparing for the next release planning session. A senior developer points out that a key third-party integration may not be available on time and could cause downstream delays. The feature relying on this integration is highly visible and central to customer satisfaction. What should the Agile project manager do?","Reassign the developer to focus on less risky stories until the integration is resolved","Identify the integration delay as a risk, assess its impact, and plan mitigation strategies during release planning","Remove the feature from the upcoming release and replace it with a lower-risk enhancement","Escalate the concern to the executive sponsor and request direction before moving forward",B,A,0/1,"Identify the integration delay as a risk, assess its impact, and plan mitigation strategies during release planning."
3,"While managing a distributed Agile team, a project manager observes delays in feedback loops and a growing misalignment between stakeholder expectations and project outcomes. Several stakeholders are missing meetings, and team members are unsure whether their updates are being seen or understood. What should the project manager implement to strengthen ongoing stakeholder communication and visibility?","Increase the number of formal stakeholder status reports and require acknowledgements","Schedule more frequent video meetings and require full attendance from all stakeholder groups","Assign a liaison to each stakeholder group to relay project updates and concerns","Use information radiators to make project progress, goals, and issues visible in real time",D,A,0/1,"Using information radiators ensures visibility and open communication by making project updates and status readily available and understandable to all stakeholders."
4,"A product owner is debating which prioritization method to use for backlog grooming. One stakeholder prefers MOSCOW, another suggests the 100-point method, while a third wants to use Kano Analysis. The Agile project manager wants to keep the team moving without overfocusing on the method. What should the Agile project manager do?","Require the use of MOSCOW since it's the most commonly taught method","Remind the team that the goal is a clear, agreed-upon list of prioritized features, regardless of technique used","Ask the team to vote on their preferred technique before proceeding","Combine all three methods to create a hybrid scoring system",B,B,1/1,"Remind the team that the goal is a clear, agreed-upon list of prioritized features, regardless of technique used."
5,"Midway through a complex project, the Agile project manager discovers that a major risk previously deemed low-priority is now likely to impact the final delivery date. The team is currently focused and highly productive, and the delay isn't guaranteed-but it's possible. The PM knows the client expects on-time delivery and is weighing whether to wait for more certainty before bringing it up. What should the Agile project manager do?","Be transparent with the client and communicate the potential risk, even if the impact is still uncertain","Wait until the next sprint review when more information will be available to discuss possible schedule changes","Monitor the situation closely but avoid raising alarm unless the risk materializes","Work with the team to address the risk internally and only escalate if mitigation efforts fail",A,A,0/1,"Agile leaders inspire trust and collaboration by being open, honest, and proactive-especially when challenges arise. Modeling this behavior sets the tone for the entire team."
6,"An Agile team is struggling to meet sprint commitments. During retrospectives, team members express confusion about task progress and dependencies, and newer members hesitate to speak up or suggest improvements. The Agile project manager wants to foster openness and continuous improvement while supporting team confidence and learning. What should the Agile project manager do?","Introduce a visible task board and invite the team to update it regularly during daily standups","Schedule additional one-on-one coaching sessions to help quieter team members feel more confident","Encourage the team to keep experimenting and not worry about failures as long as they deliver","Ask the product owner to step in and clarify roles and dependencies in the backlog",A,A,0/1,"Introduce a visible task board and invite the team to update it regularly during daily standups."
7,"During a tense sprint review, a senior stakeholder blames the team for delays and dismisses their explanations. The project manager notices that the stakeholder reacts defensively and refuses to listen to feedback. Which behavior zone does this situation exemplify?","Red Zone","Team Misalignment Zone","Conflict Escalation","Communication Breakdown Zone",A,A,0/1,"The Red Zone is characterized by blame, defensiveness, and resistance to feedback-behaviors that undermine collaboration and disrupt Agile team dynamics."
8,"A team is preparing for the first release of a new product. Some stakeholders suggest waiting until all core functionality is built before delivering anything to customers, arguing that early releases might lead to confusion or rework. The Agile project manager wants to support Agile principles while addressing these concerns. What should the Agile project manager do?","Agree to delay release until the product is complete to maintain stakeholder satisfaction","Add a separate testing phase at the end of the project to minimize potential confusion","Conduct a one-time pilot test before releasing the full product","Emphasize incremental delivery to get working features into a test environment early and gather feedback",D,D,1/1,"Delivering value incrementally improves product quality and customer satisfaction by validating functionality early, reducing surprises, and minimizing rework."
9,"During a sprint retrospective, the team decides to experiment with a new approach to reduce the time spent fixing integration issues. They agree to monitor the results and make adjustments after the next sprint based on what they learn. Which concept does this approach best reflect?","Servant leadership","Kaizen","Continuous deployment","Sprint review",B,A,0/1,"The team's focus on small, iterative improvements and structured follow-up embodies the Kaizen approach to continuous improvement."
10,"A project manager wants to gauge how strongly the team supports a proposed change to the iteration schedule. Rather than asking for a simple yes or no, the PM wants a more nuanced sense of consensus and potential concerns. What participatory model should the project manager use?","Simple voting","Silent brainstorming","Consensus workshop","Fist of five",D,A,0/1,"Fist of five provides a scalable, transparent way to assess team sentiment and identify early resistance, making it ideal for decision-making on proposed changes."
