QNo,Question,Correct Answer,Selected Answer,Feedback
1,"1. An agile project is running activities to define the minimum viable product MVP. During the session, the project manager identifies some mandatory regulations, but there is no consensus to include these regulations in the MVP because if may extend the duration of the project. What should the project manager do?",,Train the team on the new regulations as requested by management,"In order to determine a usable product for the customer in each increment, the core value must be understood. Based on the essential value sought by the project, the bare minimum of how the value can be realized is established. As there are mandatory regulations that must be included, the project manager should get commitment from the team to include all of the required regulations."
2,2. The project sponsor on an agile project informed the project lead that an executive would like an update on the project’s progress. What should the project lead do?,,Invite the executive to the project’s meeting space to determine if the project information radiators met their needs.,"Important Note for the real exam: an information radiator is a comprehensive display of key team Information openly shared with all team members and other stakeholders and continuously updated. It includes information such as the Kanban or task board, the team velocity, continuous integration status, the progress of the team, and Sprint Burn down Charts (when on walls). The project lead/ scrum master should Invite the executive to the project’s meeting space to determine if the project information radiators meet their needs. An important question for PMP real exam."
3,"3. During the design phase, a project manager realizes that the project will benefit from using adaptive tools. The effectiveness of this approach has been proven in past projects inside the organization. What should the project manager do first?",,Confirm team capabilities before introducing adaptive tools and artefacts to the project,"As mentioned in the question (FIRST) The project manager should first Confirm team capabilities before introducing adaptive tools and artifacts to the project to see if the team needs training or ask the company to provide skilled, experienced team members."
4,4. Which of the following reflect key values listed in the Agile Manifesto? (Select all that apply.),,Individuals and interactions over processes and tools | Customer collaboration over contract negotiation | Responding to change over following a plan,The Agile Manifesto for Software Development was published in 2001 by thought leaders in the software industry. The intent was to propose a new way of developing software. It consists of 12 principles and 4 key values.
5,"5. A company has a lot of experience with predictive project the project management office (PMO) has been trying to implement iterative tools within the project management framework, and the project manager has been asked to use these tools in their current project, after the successful implementation of the iterative tools, the PMO asks the project manager to determine the benefits these tools brought to the project. What should the project manager do?",,Determine the data to be monitored during the project as well as the expected performance and targets.,Conduct reviews with stakeholders to discuss the potential benefits the approach may have to the project.
6,6. Your project expense has increased in the last quarter due to the required office space for personnel and some of their travel. What can you do from a resource management planning perspective to address this?,,"Plan to incorporate a virtual team environment, if not done already","A virtual team environment helps to move forward with projects that would have been canceled due to travel expenses, and save expenses of the office and physical equipment for employees. In this arrangement, project team members need not work face to face, and facilities like video conferencing may be used. Bringing all team members into one location incurs more expenses due to relocation and possible higher office rates at that location. The option to reduce office and travel costs does not exactly specify how to reduce it."
7,7. Some of your team members seen to be not cooperating with each other. There is a lack of mutual support and they are coming to you for decision making on small issues. What can you do to make this better?,,Initiate team building to increase trust among team members,Members using team-building activities will improve the situation. Involving the team in project management and decision-making on behalf of the project manager will not improve the teamwork. There may be teaming issues due to cultural diversity which may also be addressed by team building activities.
8,8. A lead business analyst on a large project has consistently been working late to finalize requirements for the next sprint. In the weekly team lead meeting. The project manager learns there are several business analysts on the team who have free cycles. What should the project manager do to ensure an even workload?,,Facilitate a discussion within the team to redistribute the work within the project team.,"Since there are several business analysts on the team who have free cycles, the project manager should facilitate a discussion within the team to redistribute the work within the project team."
9,9. The change control board (CCB) is evaluating a recently submitted change request. The project sponsor wants to deny the request. Another stakeholder is in favor of deferring the request until a later date. The project manager and other stakeholder feel it is best to approve the request. The project manager is unsure how to proceed since there is disagreement among the stakeholders. What should the project manager do?,,Consult the project management plan,"The description provided by the question indicates that the Perform Integrated Change Control process is underway. One of the tools and techniques associated with the Perform Integrated Change Control process is decision making. Decision-making techniques include voting which can take the form of unanimity, majority,or plurality to decide whether to accept, defer, or reject a change request. The project management plan establishes the criteria for which change requests are approved, rejected, or deferred. Therefore, the project manager should consult the project management plan in order to determine the approved decision-making technique in this scenario. Note, that the change management plan is the specic component of the project management plan that establishes the change control board and documents the extent of its authority. However, the change management plan was not listed as an answer choice. Since the change management plan is a subsidiary of the project management plan, consulting the project management plan is the best response.(PMBOK Guide) – Sixth Edition, Page(s) 113, 115, 119"
10,10. A project manager wants to measure velocity as the indicator of the agile team’s progress. Which of the following metrics is best for the project manager to use for this purpose?,,The number of user story points completed by the team per iteration,"Velocity is typically calculated as the sum of story points sizes for the features actually completed during an iteration. (Agile Practice Guide -PMI , Page(s) 61, 64)"
11,11. Which option best describes the Sprint Review?,,A meeting to give clients and other interested parties an opportunity to inspect the work done in the sprint and give feedback.,"A review at the end of each iteration with the Product Owner and other customer stakeholders to review the progress of the product, get early feedback, and where the Product Owner reviews and accepts the stories delivered in that iteration."
12,12. Choose the title in the Kanban board below that require additional resource to relive the bottleneck?,,Coding,"Code is the correct answer because it represents the work in progress ( WIP ) and requires additional resources to relieve the bottleneck. In the Kanban Method, it is more important to complete work than it is to start new work. There is no value derived from work that is not completed so the team works together to implement and adhere to the work in progress (WIP) limits and get each piece of work through the system to “done."
13,"13. During the sprint planning meeting, the amount of work necessary for fulfilling the items requested by the product owner seems greater than the development team’s capacity. Which action makes more sense?",,"The development team and product owner collaborate, with a view to removing or modifying items","The Development Team and Product Owner collaborate,with a view to removing or modifying items."
14,14. Tracking project impediments in a scrum project is whose primary responsibility?,,Scrum Master,"(Scrum Master ) The coach of the development team and process owner in the Scrum framework. Removes obstacles, facilitates productive events, and defends the team from disruptions."
15,15. A project manager is working in a hybrid environment using both waterfall and agile frameworks which causes some confusion about who does what throughout the project. What can the project manger do to help clear the confusion?,,Invite the project sponsor to the project kick-off meeting,Develop the resource management plan by defining the roles and responsibilities.it will clear this confusion.
