Question Number,Question Text,Selected Answer,Correct Answer,Correct/Incorrect,Feedback
1,"Tom is a Servant leader of a complex software development project that is running using Agile development approach. Two developers are having difference in opinion about the technical approach of a user story. What needs to be done in this situation?","Tom should assess the level of conflict and intervene appropriately","Entire team should gather to discus the issue and produce a collective solution",Incorrect,"On an empowered agile team, it's up to the team members to resolve their technical disputes collectively. The scrum master, or the product owner is unlikely to have the knowledge required to make such technical decisions. So, among all options, option C is the best answer. Agile Practice Guide - Project Management Institute Inc., 2017, Page(s) – 41-43, 61."
2,"The project team is using Iteration burn-down chart to predict the remaining work in the current iteration backlog. Iteration Burn-down chart is an example of which of the following tools and techniques?","Data Representation","Data Analysis",Incorrect,"The burn-down chart is an example for data analysis tool that shows the total effort against the amount of work for each iteration. PMBOK Guide – Sixth Edition, Project Management Institute Inc., 2017, Page(s) – 226 & 687."
3,"A newly formed development team is started writing user stories after an understanding of the features and functions. The few examples of user stories are as follows: Users can make reservations so that they can travel Show room sizes so that they can see if it fits their need . Which one of the following problem would you like to fix in these user stories?","The user stories are not explored from the user value point of view","The user stories are not clarifying the specific users",Incorrect,"The user value is mentioned in these user stories. In first user story user wants to travel and in second user story users are visualizing value through their specific room size requirements. The estimates depend on size of user stories and question is not indicating that team has estimated these user stories as big in size. The user story is just a token of conversation and collaboration and writing acceptance criteria makes user stories testable. Above description eliminates following options: The user stories are not explored from the user value point of view The user stories are not small enough to estimate The user stories are not testable In these examples we can see development team is not mentioning the specific user roles – it is an important component of a user stories. Without specific intended user the identified value is vague and we are not aware who will benefit from it. If you are not aware about real user stories, then it is not right time to write user stories, first identify user roles like Student, Job seeker Employer for a Job Portal."
4,"A Release burndown chart is showing burn up, what could be the possible reason?","The team is not delivering stories as per estimated velocity","When new stories are added to release backlog.",Incorrect,"When additional work is added to a release , the team working with its normal velocity end up with more story points left at the end of iteration than they began working with."
5,"A permanent highly skilled staff hired for the project to avoid potential budget overruns. However, there is a risk of staff turnover during  the  course of the project, which may have an impact on the delivery. Which two actions should the project manager take to mitigate this risk? Choose two","Introduce a recognition program to motivate and reward and reward resource performance. Increase the trained staff to create back up for resources.","Introduce a recognition program to motivate and reward and reward resource performance. Increase the trained staff to create back up for resources.",Correct,"Two actions are: Increase the trained staff to create back up for resources and introduce a recognition program to motivate and reward resource performance."
6,"Which of the following is not an example of the four values of the Agile Manifesto?","Working software is the primary measure of progress","Working software is the primary measure of progress",Correct,"The options - A, C, D falls under four values of the Agile manifesto. Option B is an example for one of the twelve Agile principles behind the Agile manifesto. So, among all options, option B is the right answer. Agile Practice Guide - Project Management Institute Inc., 2017, Page(s) – 8,9."
7,"Tom is the newly appointed Project Manager of a software development project which has high degree of uncertainties and scope is not yet fully defined. Considering all the factors, he decides to adopt Agile development approach for running the project. Now, he has to come up with an initial cost estimate before the project work begins. What can be the best approach for the preparation of initial cost estimate as per the stated scenario?","Using Analogous estimation technique to produce a high-level cost estimate","Using light weight estimation methods to generate a high-level cost forecast.",Incorrect,"Projects with a high degree of uncertainty or if the scope is not fully defined may not benefit from detailed cost calculations because there are frequent changes. In an agile environment, lightweight estimates can be used to generate a high-level cost of project labor costs, which can be adjusted when changes are made. (PMBOK Guide) – Sixth Edition, Project Management Institute Inc., 2017, Page(s) – 234."
8,"Match the term with its corresponding description.","A-1, B-4, C-2, D-3.","A-1, B-4, C-2, D-3.",Correct,"A-1, B-4, C-2, D-3."
9,"Todd is a project manager of a very large software product development project that needs to be executed from five different cities. Senior management has decided to run the project using an agile approach by following the philosophies of the scrum as much as possible. What framework is most suited as per the given situation?","LeSS","LeSS",Correct,"The situation in the question states about a very large project that needs to be executed using an agile approach by following the philosophies of the scrum. LeSS (Large Scale Scrum) is a framework that extends Scrum with scaling guidelines while preserving the original purposes of Scrum. It's most applicable for many teams (cross-functional) working together on one product. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 20-23"
10,"A team member shares with their functional manager some negative details about the performance of another team member that was discussed during the retrospective. The project manager finds out about this discussion. What two actions should the project manager take? Choose two.","Meet with the entire team to review the ground rules about safe environments. Contact with the team member to explain what information can be shared outside the team.","Meet with the entire team to review the ground rules about safe environments. Contact with the team member to explain what information can be shared outside the team.",Correct,"1- Contact the team member to explain what information can be shared outside the team. 2- Meet with the entire team to review the ground rules about safe environments."
11,"At a walkthrough, a stakeholder, end user, and the development team identify significant new functionality required for the proposed solution to be effective. What is the next step?","The new functionality should be added to the product backlog.","The new functionality should be added to the product backlog.",Correct,"In agile, the development team commits to a group of user stories at the beginning of an iteration. Likewise, the product owner agrees not to disrupt the team during this timebox. For this reason, the best answer is that the new functionality should be added to the product backlog, to be estimated and prioritized later. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 52-53"
12,"Stakeholders want to understand what progress an agile team has made in their last iteration. What should stakeholders review to determine this information?","The team's velocity chart","The team's velocity chart",Correct,"The results of a spike would show team findings on a specific issue. A product backlog is a list of items to be developed for the project. In agile, 'fishbone analysis' is a genuine technique and one can 'slice' up user stories. However, combined 'fishbone slices' is a made-up term. Velocity charts show how much work the team has completed in each iteration. For each iteration, a velocity chart shows the amount of work completed . Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 64"
13,"As an Agile Coach, what is the BEST way for you to handle a complex situation during a delivery?","Allow the team to self-manage & adapt its process empirically","Allow the team to self-manage & adapt its process empirically",Correct,"The Agile project manager should allow the team to self-manage & adjust its process as the team deems appropriate."
14,"Which of the following represents the purpose of Sprint review Meeting BEST?","Team to present to the Product Owner and stakeholders functionality that is done","Team to present to the Product Owner and stakeholders functionality that is done",Correct,"The purpose of the Sprint review is for the Team to present to the Product Owner and stakeholders functionality that is done."
15,"Members of the team post updates to a graph that shows the progression of features to being 'Done.' Examples of the stages of progress include Backlog, Design, Development, Testing and Done. What is the name of this graph?","Product roadmap Graph","Cumulative flow diagram",Incorrect,"A cumulative flow diagram depicts the progression of a set of features from start to finish. It's a Kanban way of monitoring work; Burndown chart does not reflect the stages of work."
16,"How does release plan help?","Helps in Developing a WBS.","Helps in understanding of the project's viability.",Incorrect,"Release plans helps in developing a better understanding of the project's viability."
17,"Which approach is BEST for estimating Agile Projects while doing the release planning?","Bottom-up approach.","Top down approach.",Incorrect,"A top down approach is used when estimating Agile Projects at the release level, as it is impossible to predict the work with any degree of certainty at the task level."
18,"During an iteration planning meeting, the team is estimating the size of the effort for each story by assigning each story to a shirt size of XS, S, M, L, XL or XXL. Which estimation method is being used?","WBS estimating","Affinity estimating",Incorrect,"The estimating scenario described here is affinity estimating. As we are grouping the stories in affinity for estimation purpose."
19,"The ongoing sprint for a software development project that is being executed by following Agile - Scrum development approach needs to be cancelled as the sprint goal has become obsolete due to a sudden change in law associated to IT security.Who will own the Product backlog?","Product Owner.","Product Owner.",Correct,"The product owner is responsible for maximizing the value of the product, and only he has authority to cancel the sprint, although he or she may do under the influence from key stakeholders, sponsor, project manager or any other stakeholders A sprint gets cancelled when sprint goal becomes obsolete due to sudden change associated to organizational policies, external environmental factors or due to any adverse situations impacting the project. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 101"
20,"The Scrum Master explains the three primary roles in Scrum to the newly hired team member. Which role is sometimes called 'the voice of the customer'?","Product owner","Product owner",Correct,"The product owner is defined as the ""individual who serves as the voice of the customer, and who has the authority to make decision about the product. ""The product owner is responsible for bridging the gaps between the customer, business stakeholders, and the development team. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 41"
21,"An agile practitioner is explaining the Agile Manifesto to some end users in advance of a new project. Which of the following would the agile practitioner say is preferred in an agile project?","Collaborating with customers","Collaborating with customers",Correct,"The Agile Manifesto lays out four values. Collaborating with the customer is preferable to contract negotiation. Likewise, individuals and interactions are valued more than processes and tools. Responding to change is more valued than following a plan, and working software is preferred over documentation. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 8"
